row_type,relative_path,size_bytes,size_human,file_count,latest_modified,has_checkpoint,has_eval_json,has_figure,has_log,has_queue_state,rank,reference_pattern,reference_file,reference_line,reference_text
dir_depth_1_3,outputs/queue/stwm_protocol_v2/d0_eval,199105,194.44KB,10,2026-04-03 14:57:34,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2/d1_train,219195,214.06KB,51,2026-04-04 01:08:55,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2/leases,0,0B,0,2026-04-04 01:08:55,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1,935554,913.63KB,198,2026-04-05 03:38:50,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1/d1_train,935554,913.63KB,197,2026-04-05 03:38:50,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_protocol_v2_frontend_default_v1/leases,0,0B,0,2026-04-05 03:38:50,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix,164986,161.12KB,52,2026-04-03 12:45:27,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane0,4737,4.63KB,8,2026-04-03 12:43:47,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane1,5403,5.28KB,6,2026-04-03 12:43:47,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane2,133533,130.40KB,8,2026-04-03 12:45:09,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/lane3,1826,1.78KB,4,2026-04-02 18:45:53,False,False,False,True,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/parked_20260403_1245,11697,11.42KB,12,2026-04-03 12:45:27,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/rebalance_backup_20260402_205521,0,0B,0,2026-04-02 20:55:21,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/rebalance_backup_20260402_205632,7766,7.58KB,13,2026-04-02 20:56:32,False,False,False,False,True,,,,,
dir_depth_1_3,outputs/queue/stwm_v4_2_real_matrix/reorder_backup_20260402_201353,0,0B,0,2026-04-02 20:13:53,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests,20885168,19.92MB,272,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/cutie_vspw,418435,408.63KB,45,2026-03-31 12:27:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/cutie_vspw/Annotations,418435,408.63KB,45,2026-03-31 12:27:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw,7925490,7.56MB,91,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw/Annotations,1547331,1.48MB,45,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/deva_vspw/Visualizations,5700952,5.44MB,45,2026-03-31 01:03:16,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/sam2_vspw,677142,661.27KB,45,2026-03-30 12:42:48,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/sam2_vspw/43_-LB7cp3_mqY,677142,661.27KB,45,2026-03-30 12:42:48,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/xmem_vspw,409749,400.15KB,45,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/xmem_vspw/43_-LB7cp3_mqY,409749,400.15KB,45,2026-03-31 12:29:01,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/yolo_world_ultralytics,11453255,10.92MB,45,2026-03-31 01:05:07,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/smoke_tests/yolo_world_ultralytics/vspw_43,11453255,10.92MB,45,2026-03-31 01:05:07,False,False,True,False,False,,,,,
dir_depth_1_3,outputs/training,988714168056,920.81GB,3890,2026-04-05 03:38:48,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1,9961004876,9.28GB,10,2026-04-03 17:20:07,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1/frontend_cache_seed42,4980502773,4.64GB,5,2026-04-03 17:20:07,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_frontend_cache_pilot_v1/raw_seed42,4980502103,4.64GB,5,2026-04-03 17:18:50,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_query_gradient_audit_fix_smoke_v1,7440,7.27KB,2,2026-04-03 19:46:13,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_query_gradient_audit_fix_smoke_v1/checkpoints,0,0B,0,2026-04-03 19:46:05,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged,36746549568,34.22GB,52,2026-04-01 13:49:37,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/base,36745999902,34.22GB,29,2026-04-01 13:49:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/state,547374,534.54KB,20,2026-04-01 13:49:37,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_confirmation_staged/status,2292,2.24KB,3,2026-04-01 13:19:40,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation,48999472175,45.63GB,43,2026-04-01 15:12:31,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/base,24501455699,22.82GB,20,2026-04-01 15:11:56,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/state,24498014304,22.82GB,20,2026-04-01 15:11:59,True,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_real_confirmation/status,2172,2.12KB,3,2026-04-01 15:12:31,False,False,False,False,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke,14371,14.03KB,6,2026-04-01 12:59:32,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke/full_v4_2,8707,8.50KB,2,2026-04-01 12:57:44,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_1b_smoke/resource_probe,5664,5.53KB,4,2026-04-01 12:59:32,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_diag_v1,29904496894,27.85GB,53,2026-04-04 01:08:54,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_diag_v1/seed_42,29904496894,27.85GB,53,2026-04-04 01:08:54,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_default_v1,29904562159,27.85GB,54,2026-04-04 00:08:00,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_default_v1/seed_42,29904562159,27.85GB,54,2026-04-04 00:08:00,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_delayed_router_mainline_seed42_v1,22429428714,20.89GB,42,2026-04-04 16:09:16,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_delayed_router_mainline_seed42_v1/seed_42,22429428714,20.89GB,42,2026-04-04 16:09:16,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_qstr_mainline_seed42_v1,22430257471,20.89GB,42,2026-04-04 20:18:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_qstr_mainline_seed42_v1/seed_42,22430257471,20.89GB,42,2026-04-04 20:18:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_qtsa_mainline_seed42_v1,22431563282,20.89GB,42,2026-04-04 23:25:47,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_qtsa_mainline_seed42_v1/seed_42,22431563282,20.89GB,42,2026-04-04 23:25:47,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1,29907001843,27.85GB,56,2026-04-04 12:43:38,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replacement_seed42_v1/seed_42,29907001843,27.85GB,56,2026-04-04 12:43:38,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replication_seed123_v1,44861217113,41.78GB,84,2026-04-04 17:26:56,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_replication_seed123_v1/seed_123,44861217113,41.78GB,84,2026-04-04 17:26:56,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_semteacher_mainline_seed42_v1,22433143571,20.89GB,42,2026-04-05 03:38:48,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_frozen_frontend_semteacher_mainline_seed42_v1/seed_42,22433143571,20.89GB,42,2026-04-05 03:38:48,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_object_bias_diag_v1,44855985732,41.78GB,108,2026-04-04 02:03:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_220m_protocol_object_bias_diag_v1/seed_42,44855985732,41.78GB,108,2026-04-04 02:03:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_identity_rescue_round,9965933651,9.28GB,132,2026-03-31 23:58:23,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_identity_rescue_round/eval,2085687,1.99MB,96,2026-03-31 23:58:23,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_identity_rescue_round/train,9963847964,9.28GB,36,2026-03-31 23:55:56,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_multiseed,7473331989,6.96GB,29,2026-03-31 22:50:23,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_multiseed/seed_123,2491105561,2.32GB,9,2026-03-31 22:47:15,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_multiseed/seed_42,2491105580,2.32GB,9,2026-03-31 22:44:52,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_multiseed/seed_456,2491105335,2.32GB,9,2026-03-31 22:49:37,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_seed42,2491117802,2.32GB,11,2026-03-31 22:22:41,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_seed42/full_v4_2,830370019,791.90MB,3,2026-03-31 22:19:58,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_seed42/wo_identity_v4_2,830366834,791.90MB,3,2026-03-31 22:21:33,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_minival_seed42/wo_semantics_v4_2,830368436,791.90MB,3,2026-03-31 22:20:46,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_protocol_repair,6642990430,6.19GB,28,2026-03-31 23:20:58,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_protocol_repair/eventful,3321495446,3.09GB,14,2026-03-31 23:20:57,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_protocol_repair/hard_query,3321494984,3.09GB,14,2026-03-31 23:20:58,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_1b,159252565788,148.32GB,21,2026-04-03 12:42:59,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_1b/seed_123,85751258987,79.86GB,11,2026-04-03 02:06:08,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_1b/seed_42,24499141807,22.82GB,3,2026-04-02 18:45:45,True,False,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_1b/seed_456,49002164994,45.64GB,7,2026-04-03 12:42:59,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_220m,39879387130,37.14GB,41,2026-04-03 14:30:34,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_220m/seed_123,4984527499,4.64GB,3,2026-04-02 18:45:51,True,False,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_220m/seed_42,24920958616,23.21GB,31,2026-04-03 14:30:34,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_real_220m/seed_456,9973901015,9.29GB,7,2026-04-03 12:42:53,True,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_smoke,37050,36.18KB,6,2026-03-31 22:04:20,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_smoke/full_v4_2,12934,12.63KB,2,2026-03-31 22:03:45,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_smoke/wo_identity_v4_2,11996,11.71KB,2,2026-03-31 22:04:20,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_smoke/wo_semantics_v4_2,12120,11.84KB,2,2026-03-31 22:04:03,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_state_identifiability,868847,848.48KB,20,2026-04-01 01:04:19,False,True,False,True,True,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_state_identifiability/seed_123,327848,320.16KB,6,2026-04-01 01:02:55,False,True,False,True,False,,,,,
dir_depth_1_3,outputs/training/stwm_v4_2_state_identifiability/seed_42,328372,320.68KB,6,2026-04-01 01:01:32,False,True,False,True,False,,,,,
